Field Name,Category,Description,Sheet,Cell
LAUNDRY_INCOME,NOI Assumptions,LAUNDRY_INCOME,Assumptions (Summary),$D$55
PET_INCOME,NOI Assumptions,PET_INCOME,Assumptions (Summary),$D$56
OTHER_MISC_INCOME,NOI Assumptions,OTHER_MISC._INCOME,Assumptions (Summary),$D$57
TOTAL_OTHER_INCOME,NOI Assumptions,TOTAL_OTHER_INCOME,Assumptions (Summary),$D$58
EFFECTIVE_GROSS_INCOME,NOI Assumptions,EFFECTIVE_GROSS_INCOME,Assumptions (Summary),$D$60
REAL_ESTATE_TAXES,NOI Assumptions,REAL_ESTATE_TAXES,Assumptions (Summary),$D$63
OTHER_EXPENSES,NOI Assumptions,OTHER_EXPENSES,Assumptions (Summary),$D$64
PROPERTY_INSURANCE,NOI Assumptions,PROPERTY_INSURANCE,Assumptions (Summary),$D$65
UTILITIES,NOI Assumptions,UTILITIES,Assumptions (Summary),$D$66
STAFFING_PAYROLL,NOI Assumptions,STAFFING_PAYROLL,Assumptions (Summary),$D$67
REPAIRS_AND_MAINTENANCE,NOI Assumptions,REPAIRS_AND_MAINTENANCE,Assumptions (Summary),$D$69
TURNOVER,NOI Assumptions,TURNOVER,Assumptions (Summary),$D$70
CONTRACT_SERVICES,NOI Assumptions,CONTRACT_SERVICES,Assumptions (Summary),$D$71
RESERVES_FOR_REPLACEMENT,NOI Assumptions,RESERVES_FOR_REPLACEMENT,Assumptions (Summary),$D$72
ADMIN_LEGAL_AND_SECURITY,NOI Assumptions,ADMIN_LEGAL_AND_SECURITY,Assumptions (Summary),$D$73
ADVERTISING_LEASING_AND_MARKETING,NOI Assumptions,ADVERTISING_LEASING_AND_MARKETING,Assumptions (Summary),$D$74
TOTAL_OPERATING_EXPENSES,NOI Assumptions,TOTAL_OPERATING_EXPENSES,Assumptions (Summary),$D$75
NET_OPERATING_INCOME,NOI Assumptions,NET_OPERATING_INCOME,Assumptions (Summary),$D$77
NET_OPERATING_INCOME_MARGIN,NOI Assumptions,NET_OPERATING_INCOME_MARGIN,Assumptions (Summary),$D$78
TOTAL_BELOW_THE_LINE_EXPENSES,NOI Assumptions,TOTAL_BELOW-THE-LINE_EXPENSES,Assumptions (Summary),$D$88
NET_INCOME,NOI Assumptions,NET_INCOME,Assumptions (Summary),$D$90
NET_INCOME_MARGIN,NOI Assumptions,NET_INCOME_MARGIN,Assumptions (Summary),$D$91
REVENUE_GROWTH_RATE_YEAR_1,NOI Assumptions,REVENUE_GROWTH_RATE_YEAR_1,Assumptions (Summary),$D$151
REVENUE_GROWTH_RATE_YEAR_2,NOI Assumptions,REVENUE_GROWTH_RATE_YEAR_2,Assumptions (Summary),$D$152
REVENUE_GROWTH_RATE_YEAR_3,NOI Assumptions,REVENUE_GROWTH_RATE_YEAR_3,Assumptions (Summary),$D$153
REVENUE_GROWTH_RATE_YEAR_4,NOI Assumptions,REVENUE_GROWTH_RATE_YEAR_4,Assumptions (Summary),$D$154
REVENUE_GROWTH_RATE_YEAR_5,NOI Assumptions,REVENUE_GROWTH_RATE_YEAR_5,Assumptions (Summary),$D$155
REVENUE_GROWTH_RATE_YEAR_6,NOI Assumptions,REVENUE_GROWTH_RATE_YEAR_6,Assumptions (Summary),$D$156
REVENUE_GROWTH_RATE_YEAR_7,NOI Assumptions,REVENUE_GROWTH_RATE_YEAR_7,Assumptions (Summary),$D$157
REVENUE_GROWTH_RATE_YEAR_8,NOI Assumptions,REVENUE_GROWTH_RATE_YEAR_8,Assumptions (Summary),$D$158
REVENUE_GROWTH_RATE_YEAR_9,NOI Assumptions,REVENUE_GROWTH_RATE_YEAR_9,Assumptions (Summary),$D$159
REVENUE_GROWTH_RATE_YEAR_10,NOI Assumptions,REVENUE_GROWTH_RATE_YEAR_10,Assumptions (Summary),$D$160
REVENUE_GROWTH_RATE_YEAR_11,NOI Assumptions,REVENUE_GROWTH_RATE_YEAR_11,Assumptions (Summary),$D$161
OTHER_INCOME_GROWTH_RATE_YEAR_1,NOI Assumptions,OTHER_INCOME_GROWTH_RATE_YEAR_1,Assumptions (Summary),$D$164
OTHER_INCOME_GROWTH_RATE_YEAR_2,NOI Assumptions,OTHER_INCOME_GROWTH_RATE_YEAR_2,Assumptions (Summary),$D$165
OTHER_INCOME_GROWTH_RATE_YEAR_3,NOI Assumptions,OTHER_INCOME_GROWTH_RATE_YEAR_3,Assumptions (Summary),$D$166
OTHER_INCOME_GROWTH_RATE_YEAR_4,NOI Assumptions,OTHER_INCOME_GROWTH_RATE_YEAR_4,Assumptions (Summary),$D$167
OTHER_INCOME_GROWTH_RATE_YEAR_5,NOI Assumptions,OTHER_INCOME_GROWTH_RATE_YEAR_5,Assumptions (Summary),$D$168
OTHER_INCOME_GROWTH_RATE_YEAR_6,NOI Assumptions,OTHER_INCOME_GROWTH_RATE_YEAR_6,Assumptions (Summary),$D$169
OTHER_INCOME_GROWTH_RATE_YEAR_7,NOI Assumptions,OTHER_INCOME_GROWTH_RATE_YEAR_7,Assumptions (Summary),$D$170
OTHER_INCOME_GROWTH_RATE_YEAR_8,NOI Assumptions,OTHER_INCOME_GROWTH_RATE_YEAR_8,Assumptions (Summary),$D$171
OTHER_INCOME_GROWTH_RATE_YEAR_9,NOI Assumptions,OTHER_INCOME_GROWTH_RATE_YEAR_9,Assumptions (Summary),$D$172
OTHER_INCOME_GROWTH_RATE_YEAR_10,NOI Assumptions,OTHER_INCOME_GROWTH_RATE_YEAR_10,Assumptions (Summary),$D$173
OTHER_INCOME_GROWTH_RATE_YEAR_11,NOI Assumptions,OTHER_INCOME_GROWTH_RATE_YEAR_11,Assumptions (Summary),$D$174
OPERATING_EXPENSE_GROWTH_RATE_YEAR_1,NOI Assumptions,OPERATING_EXPENSE_GROWTH_RATE_YEAR_1,Assumptions (Summary),$D$177
OPERATING_EXPENSE_GROWTH_RATE_YEAR_2,NOI Assumptions,OPERATING_EXPENSE_GROWTH_RATE_YEAR_2,Assumptions (Summary),$D$178
OPERATING_EXPENSE_GROWTH_RATE_YEAR_3,NOI Assumptions,OPERATING_EXPENSE_GROWTH_RATE_YEAR_3,Assumptions (Summary),$D$179
OPERATING_EXPENSE_GROWTH_RATE_YEAR_4,NOI Assumptions,OPERATING_EXPENSE_GROWTH_RATE_YEAR_4,Assumptions (Summary),$D$180
OPERATING_EXPENSE_GROWTH_RATE_YEAR_5,NOI Assumptions,OPERATING_EXPENSE_GROWTH_RATE_YEAR_5,Assumptions (Summary),$D$181
OPERATING_EXPENSE_GROWTH_RATE_YEAR_6,NOI Assumptions,OPERATING_EXPENSE_GROWTH_RATE_YEAR_6,Assumptions (Summary),$D$182
OPERATING_EXPENSE_GROWTH_RATE_YEAR_7,NOI Assumptions,OPERATING_EXPENSE_GROWTH_RATE_YEAR_7,Assumptions (Summary),$D$183
OPERATING_EXPENSE_GROWTH_RATE_YEAR_8,NOI Assumptions,OPERATING_EXPENSE_GROWTH_RATE_YEAR_8,Assumptions (Summary),$D$184
OPERATING_EXPENSE_GROWTH_RATE_YEAR_9,NOI Assumptions,OPERATING_EXPENSE_GROWTH_RATE_YEAR_9,Assumptions (Summary),$D$185
OPERATING_EXPENSE_GROWTH_RATE_YEAR_10,NOI Assumptions,OPERATING_EXPENSE_GROWTH_RATE_YEAR_10,Assumptions (Summary),$D$186
OPERATING_EXPENSE_GROWTH_RATE_YEAR_11,NOI Assumptions,OPERATING_EXPENSE_GROWTH_RATE_YEAR_11,Assumptions (Summary),$D$187
REAL_ESTATE_TAX_EXPENSE_GROWTH_RATE_YEAR_1,NOI Assumptions,REAL_ESTATE_TAX_EXPENSE_GROWTH_RATE_YEAR_1,Assumptions (Summary),$D$190
REAL_ESTATE_TAX_EXPENSE_GROWTH_RATE_YEAR_2,NOI Assumptions,REAL_ESTATE_TAX_EXPENSE_GROWTH_RATE_YEAR_2,Assumptions (Summary),$D$191
REAL_ESTATE_TAX_EXPENSE_GROWTH_RATE_YEAR_3,NOI Assumptions,REAL_ESTATE_TAX_EXPENSE_GROWTH_RATE_YEAR_3,Assumptions (Summary),$D$192
REAL_ESTATE_TAX_EXPENSE_GROWTH_RATE_YEAR_4,NOI Assumptions,REAL_ESTATE_TAX_EXPENSE_GROWTH_RATE_YEAR_4,Assumptions (Summary),$D$193
REAL_ESTATE_TAX_EXPENSE_GROWTH_RATE_YEAR_5,NOI Assumptions,REAL_ESTATE_TAX_EXPENSE_GROWTH_RATE_YEAR_5,Assumptions (Summary),$D$194
REAL_ESTATE_TAX_EXPENSE_GROWTH_RATE_YEAR_6,NOI Assumptions,REAL_ESTATE_TAX_EXPENSE_GROWTH_RATE_YEAR_6,Assumptions (Summary),$D$195
REAL_ESTATE_TAX_EXPENSE_GROWTH_RATE_YEAR_7,NOI Assumptions,REAL_ESTATE_TAX_EXPENSE_GROWTH_RATE_YEAR_7,Assumptions (Summary),$D$196
REAL_ESTATE_TAX_EXPENSE_GROWTH_RATE_YEAR_8,NOI Assumptions,REAL_ESTATE_TAX_EXPENSE_GROWTH_RATE_YEAR_8,Assumptions (Summary),$D$197
REAL_ESTATE_TAX_EXPENSE_GROWTH_RATE_YEAR_9,NOI Assumptions,REAL_ESTATE_TAX_EXPENSE_GROWTH_RATE_YEAR_9,Assumptions (Summary),$D$198
REAL_ESTATE_TAX_EXPENSE_GROWTH_RATE_YEAR_10,NOI Assumptions,REAL_ESTATE_TAX_EXPENSE_GROWTH_RATE_YEAR_10,Assumptions (Summary),$D$199
REAL_ESTATE_TAX_EXPENSE_GROWTH_RATE_YEAR_11,NOI Assumptions,REAL_ESTATE_TAX_EXPENSE_GROWTH_RATE_YEAR_11,Assumptions (Summary),$D$200
INSURANCE_EXPENSE_GROWTH_RATE_YEAR_1,NOI Assumptions,INSURANCE_EXPENSE_GROWTH_RATE_YEAR_1,Assumptions (Summary),$D$203
INSURANCE_EXPENSE_GROWTH_RATE_YEAR_2,NOI Assumptions,INSURANCE_EXPENSE_GROWTH_RATE_YEAR_2,Assumptions (Summary),$D$204
INSURANCE_EXPENSE_GROWTH_RATE_YEAR_3,NOI Assumptions,INSURANCE_EXPENSE_GROWTH_RATE_YEAR_3,Assumptions (Summary),$D$205
INSURANCE_EXPENSE_GROWTH_RATE_YEAR_4,NOI Assumptions,INSURANCE_EXPENSE_GROWTH_RATE_YEAR_4,Assumptions (Summary),$D$206
INSURANCE_EXPENSE_GROWTH_RATE_YEAR_5,NOI Assumptions,INSURANCE_EXPENSE_GROWTH_RATE_YEAR_5,Assumptions (Summary),$D$207
INSURANCE_EXPENSE_GROWTH_RATE_YEAR_6,NOI Assumptions,INSURANCE_EXPENSE_GROWTH_RATE_YEAR_6,Assumptions (Summary),$D$208
INSURANCE_EXPENSE_GROWTH_RATE_YEAR_7,NOI Assumptions,INSURANCE_EXPENSE_GROWTH_RATE_YEAR_7,Assumptions (Summary),$D$209
INSURANCE_EXPENSE_GROWTH_RATE_YEAR_8,NOI Assumptions,INSURANCE_EXPENSE_GROWTH_RATE_YEAR_8,Assumptions (Summary),$D$210
INSURANCE_EXPENSE_GROWTH_RATE_YEAR_9,NOI Assumptions,INSURANCE_EXPENSE_GROWTH_RATE_YEAR_9,Assumptions (Summary),$D$211
INSURANCE_EXPENSE_GROWTH_RATE_YEAR_10,NOI Assumptions,INSURANCE_EXPENSE_GROWTH_RATE_YEAR_10,Assumptions (Summary),$D$212
INSURANCE_EXPENSE_GROWTH_RATE_YEAR_11,NOI Assumptions,INSURANCE_EXPENSE_GROWTH_RATE_YEAR_11,Assumptions (Summary),$D$213
VACANCY_LOSS_YEAR_1,Annual Cashflows,VACANCY_LOSS_YEAR_1,Annual Cashflows,$I$18
VACANCY_LOSS_YEAR_2,Annual Cashflows,VACANCY_LOSS_YEAR_2,Annual Cashflows,$J$18
VACANCY_LOSS_YEAR_3,Annual Cashflows,VACANCY_LOSS_YEAR_3,Annual Cashflows,$K$18
VACANCY_LOSS_YEAR_4,Annual Cashflows,VACANCY_LOSS_YEAR_4,Annual Cashflows,$L$18
VACANCY_LOSS_YEAR_5,Annual Cashflows,VACANCY_LOSS_YEAR_5,Annual Cashflows,$M$18
VACANCY_LOSS_YEAR_6,NOI Assumptions,VACANCY_LOSS_YEAR_6,Assumptions (Summary),$D$221
VACANCY_LOSS_YEAR_7,NOI Assumptions,VACANCY_LOSS_YEAR_7,Assumptions (Summary),$D$222
VACANCY_LOSS_YEAR_8,NOI Assumptions,VACANCY_LOSS_YEAR_8,Assumptions (Summary),$D$223
VACANCY_LOSS_YEAR_9,NOI Assumptions,VACANCY_LOSS_YEAR_9,Assumptions (Summary),$D$224
VACANCY_LOSS_YEAR_10,NOI Assumptions,VACANCY_LOSS_YEAR_10,Assumptions (Summary),$D$225
VACANCY_LOSS_YEAR_11,NOI Assumptions,VACANCY_LOSS_YEAR_11,Assumptions (Summary),$D$226
CONCESSIONS_YEAR_1,Annual Cashflows,CONCESSIONS_YEAR_1,Annual Cashflows,$I$16
CONCESSIONS_YEAR_2,Annual Cashflows,CONCESSIONS_YEAR_2,Annual Cashflows,$J$16
CONCESSIONS_YEAR_3,Annual Cashflows,CONCESSIONS_YEAR_3,Annual Cashflows,$K$16
CONCESSIONS_YEAR_4,Annual Cashflows,CONCESSIONS_YEAR_4,Annual Cashflows,$L$16
CONCESSIONS_YEAR_5,Annual Cashflows,CONCESSIONS_YEAR_5,Annual Cashflows,$M$16
CONCESSIONS_YEAR_6,NOI Assumptions,CONCESSIONS_YEAR_6,Assumptions (Summary),$D$234
CONCESSIONS_YEAR_7,NOI Assumptions,CONCESSIONS_YEAR_7,Assumptions (Summary),$D$235
CONCESSIONS_YEAR_8,NOI Assumptions,CONCESSIONS_YEAR_8,Assumptions (Summary),$D$236
CONCESSIONS_YEAR_9,NOI Assumptions,CONCESSIONS_YEAR_9,Assumptions (Summary),$D$237
CONCESSIONS_YEAR_10,NOI Assumptions,CONCESSIONS_YEAR_10,Assumptions (Summary),$D$238
CONCESSIONS_YEAR_11,NOI Assumptions,CONCESSIONS_YEAR_11,Assumptions (Summary),$D$239
BAD_DEBTS_YEAR_1,Annual Cashflows,BAD_DEBTS_YEAR_1,Annual Cashflows,$I$19
BAD_DEBTS_YEAR_2,Annual Cashflows,BAD_DEBTS_YEAR_2,Annual Cashflows,$J$19
BAD_DEBTS_YEAR_3,Annual Cashflows,BAD_DEBTS_YEAR_3,Annual Cashflows,$K$19
BAD_DEBTS_YEAR_4,Annual Cashflows,BAD_DEBTS_YEAR_4,Annual Cashflows,$L$19
BAD_DEBTS_YEAR_5,Annual Cashflows,BAD_DEBTS_YEAR_5,Annual Cashflows,$M$19
BAD_DEBTS_YEAR_6,NOI Assumptions,BAD_DEBTS_YEAR_6,Assumptions (Summary),$D$247
BAD_DEBTS_YEAR_7,NOI Assumptions,BAD_DEBTS_YEAR_7,Assumptions (Summary),$D$248
BAD_DEBTS_YEAR_8,NOI Assumptions,BAD_DEBTS_YEAR_8,Assumptions (Summary),$D$249
BAD_DEBTS_YEAR_9,NOI Assumptions,BAD_DEBTS_YEAR_9,Assumptions (Summary),$D$250
BAD_DEBTS_YEAR_10,NOI Assumptions,BAD_DEBTS_YEAR_10,Assumptions (Summary),$D$251
BAD_DEBTS_YEAR_11,NOI Assumptions,BAD_DEBTS_YEAR_11,Assumptions (Summary),$D$252
OTHER_LOSS_YEAR_1,Annual Cashflows,OTHER_LOSS_YEAR_1,Annual Cashflows,$I$20
OTHER_LOSS_YEAR_2,Annual Cashflows,OTHER_LOSS_YEAR_2,Annual Cashflows,$J$20
OTHER_LOSS_YEAR_3,Annual Cashflows,OTHER_LOSS_YEAR_3,Annual Cashflows,$K$20
OTHER_LOSS_YEAR_4,Annual Cashflows,OTHER_LOSS_YEAR_4,Annual Cashflows,$L$20
OTHER_LOSS_YEAR_5,Annual Cashflows,OTHER_LOSS_YEAR_5,Annual Cashflows,$M$20
OTHER_LOSS_YEAR_6,NOI Assumptions,OTHER_LOSS_YEAR_6,Assumptions (Summary),$D$260
OTHER_LOSS_YEAR_7,NOI Assumptions,OTHER_LOSS_YEAR_7,Assumptions (Summary),$D$261
OTHER_LOSS_YEAR_8,NOI Assumptions,OTHER_LOSS_YEAR_8,Assumptions (Summary),$D$262
OTHER_LOSS_YEAR_9,NOI Assumptions,OTHER_LOSS_YEAR_9,Assumptions (Summary),$D$263
OTHER_LOSS_YEAR_10,NOI Assumptions,OTHER_LOSS_YEAR_10,Assumptions (Summary),$D$264
OTHER_LOSS_YEAR_11,NOI Assumptions,OTHER_LOSS_YEAR_11,Assumptions (Summary),$D$265
EQUITY_LP_CAPITAL,Debt and Equity Assumptions,EQUITY_LP_CAPITAL,Assumptions (Summary),$D$298
OPERATING_CASHFLOW_LP_HURDLE_RATE,Debt and Equity Assumptions,OPERATING_CASHFLOW_LP_HURDLE_RATE,Assumptions (Summary),$D$306
OPERATING_CASHFLOW_LP_PROFIT_SPLIT,Debt and Equity Assumptions,OPERATING_CASHFLOW_LP_PROFIT_SPLIT,Assumptions (Summary),$D$307
LIQUIDATING_CASHFLOW_LP_HURDLE_RATE,Debt and Equity Assumptions,LIQUIDATING_CASHFLOW_LP_HURDLE_RATE,Assumptions (Summary),$D$310
LIQUIDATING_CASHFLOW_LP_PROFIT_SPLIT,Debt and Equity Assumptions,LIQUIDATING_CASHFLOW_LP_PROFIT_SPLIT,Assumptions (Summary),$D$311
OPERATING_CASHFLOW_GP_CATCHUP,Debt and Equity Assumptions,OPERATING_CASHFLOW_GP_CATCHUP,Assumptions (Summary),$D$314
LIQUIDATING_CASHFLOW_GP_CATCHUP,Debt and Equity Assumptions,LIQUIDATING_CASHFLOW_GP_CATCHUP,Assumptions (Summary),$D$315
ACQUISITION_FEE,Debt and Equity Assumptions,ACQUISITION_FEE,Assumptions (Summary),$D$320
ASSET_MANAGEMENT_FEE,Debt and Equity Assumptions,ASSET_MANAGEMENT_FEE,Assumptions (Summary),$D$321
SENIOR_LOAN_ORIGINATOR,Debt and Equity Assumptions,SENIOR_LOAN_ORIGINATOR,Assumptions (Summary),$D$343
SENIOR_INTEREST_RATE_STRUCTURE,Debt and Equity Assumptions,SENIOR_INTEREST_RATE_STRUCTURE,Assumptions (Summary),$D$344
SENIOR_LOAN_TERM_YEARS,Debt and Equity Assumptions,SENIOR_LOAN_TERM_YEARS,Assumptions (Summary),$D$345
SENIOR_INTEREST_RATE,Debt and Equity Assumptions,SENIOR_INTEREST_RATE,Assumptions (Summary),$D$346
SENIOR_INTERESTONLY_PERIOD_YEARS,Debt and Equity Assumptions,SENIOR_INTERESTONLY_PERIOD_YEARS,Assumptions (Summary),$D$348
SENIOR_AMORTIZATION_PERIOD_YEARS,Debt and Equity Assumptions,SENIOR_AMORTIZATION_PERIOD_YEARS,Assumptions (Summary),$D$349
SENIOR_MAXIMUM_DSCR,Debt and Equity Assumptions,SENIOR_MAXIMUM_DSCR,Assumptions (Summary),$D$350
SENIOR_LOAN_LENDER_ORIGINATION_FEE,Debt and Equity Assumptions,SENIOR_LOAN_LENDER_ORIGINATION_FEE,Assumptions (Summary),$D$351
SENIOR_LOAN_LOAN_BROKER_ORIGINATION_FEE,Debt and Equity Assumptions,SENIOR_LOAN_LOAN_BROKER_ORIGINATION_FEE,Assumptions (Summary),$D$352
SENIOR_MAXIMUM_LTPP,Debt and Equity Assumptions,SENIOR_MAXIMUM_LTPP,Assumptions (Summary),$D$356
SENIOR_LOAN_RENOVATION_FUNDING,Debt and Equity Assumptions,SENIOR_LOAN_RENOVATION_FUNDING,Assumptions (Summary),$D$357
SENIOR_LOAN_RENOVATION_FUNDING_OF_PURCHASE_PRICE,Debt and Equity Assumptions,SENIOR_LOAN_RENOVATION_FUNDING_OF_PURCHASE_PRICE,Assumptions (Summary),$D$358
LOAN_AMOUNT,Debt and Equity Assumptions,LOAN_AMOUNT,Assumptions (Summary),$D$359
TOTAL_SENIOR_LOAN_LTPP,Debt and Equity Assumptions,TOTAL_SENIOR_LOAN_LTPP,Assumptions (Summary),$D$360
LOAN_TO_VALUE,Debt and Equity Assumptions,LOAN_TO_VALUE,Assumptions (Summary),$D$361
SENIOR_LOAN_PREPAYMENT_STRUCTURE,Debt and Equity Assumptions,SENIOR_LOAN_PREPAYMENT_STRUCTURE,Assumptions (Summary),$D$364
SENIOR_LOAN_PREPAYMENT_STRUCTURE_1,Debt and Equity Assumptions,SENIOR_LOAN_PREPAYMENT_STRUCTURE_1,Assumptions (Summary),$D$365
SENIOR_LOAN_PREPAYMENT_STRUCTURE_2,Debt and Equity Assumptions,SENIOR_LOAN_PREPAYMENT_STRUCTURE_2,Assumptions (Summary),$D$366
SENIOR_LOAN_SERVICING_FEE,Debt and Equity Assumptions,SENIOR_LOAN_SERVICING_FEE,Assumptions (Summary),$D$367
REFINANCE_YES_NO,Debt and Equity Assumptions,REFINANCE_YES_NO,Assumptions (Summary),$D$371
SENIOR_REFI_LOAN_ORIGINATOR,Debt and Equity Assumptions,SENIOR_REFI_LOAN_ORIGINATOR,Assumptions (Summary),$D$372
SENIOR_REFI_INTEREST_RATE_STRUCTURE,Debt and Equity Assumptions,SENIOR_REFI_INTEREST_RATE_STRUCTURE,Assumptions (Summary),$D$373
SENIOR_REFI_LOAN_START_MONTHS_AFTER_CLOSE,Debt and Equity Assumptions,SENIOR_REFI_LOAN_START_MONTHS_AFTER_CLOSE,Assumptions (Summary),$D$374
SENIOR_REFI_LOAN_TERM_YEARS,Debt and Equity Assumptions,SENIOR_REFI_LOAN_TERM_YEARS,Assumptions (Summary),$D$375
SENIOR_REFI_INTEREST_RATE,Debt and Equity Assumptions,SENIOR_REFI_INTEREST_RATE,Assumptions (Summary),$D$376
SENIOR_REFI_INTEREST_ONLY_PERIOD_YEARS,Debt and Equity Assumptions,SENIOR_REFI_INTEREST_ONLY_PERIOD_YEARS,Assumptions (Summary),$D$378
SENIOR_REFI_AMORTIZATION_PERIOD_YEARS,Debt and Equity Assumptions,SENIOR_REFI_AMORTIZATION_PERIOD_YEARS,Assumptions (Summary),$D$379
REFI_LOAN_MAXIMUM_DSCR,Debt and Equity Assumptions,REFI_LOAN_MAXIMUM_DSCR,Assumptions (Summary),$D$380
LENDER_CLOSING_COSTS_EXPENSES,Debt and Equity Assumptions,LENDER_CLOSING_COSTS_EXPENSES,Assumptions (Summary),$D$381
EQUITY_CLOSING_COSTS_EXPENSES,Debt and Equity Assumptions,EQUITY_CLOSING_COSTS_EXPENSES,Assumptions (Summary),$D$382
SENIOR_REFI_LOAN_SIZING_LTV_TEST_LTV,Debt and Equity Assumptions,SENIOR_REFI_LOAN_SIZING_LTV_TEST_LTV,Assumptions (Summary),$D$385
SENIOR_REFI_LOAN_SIZING_LTV_TEST_CAP_RATE,Debt and Equity Assumptions,SENIOR_REFI_LOAN_SIZING_LTV_TEST_CAP_RATE,Assumptions (Summary),$D$386
SENIOR_REFI_LOAN_SIZING_LTV_TEST_NOI_CALCULATION_METHOD,Debt and Equity Assumptions,SENIOR_REFI_LOAN_SIZING_LTV_TEST_NOI_CALCULATION_METHOD,Assumptions (Summary),$D$387
